Monthly Plan ID,ID,Project Key,Project Name,Activity,Activity Details,Status,Created On,Created By,Start Date,End Date
"""MP-2023-000003""","""14""",CBB020,CBBO,Market Linkage,Gramhit Maize procurement Centre opening at Karimnagar ,New,44:27.5,yadavareddy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000003""","""15""",CBB020,CBBO,Market Linkage,IFFCO advance payment for Nano Urea for all the District ,New,44:27.5,yadavareddy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000003""","""16""",SFA154,SFAC - CBBO,Market Linkage,Licence and Shop Establishment for kethaki  FPC ,New,44:27.5,yadavareddy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000003""","""17""",SFA154,SFAC - CBBO,Market Linkage,License and shop establishment for Kethaki FPC ,New,44:27.5,yadavareddy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000004""","""18""",MAR093,Marketing - FPOs,Market Linkage,Visiting Kadapa and Nuzvid for turmeric market linkage with Verstegen,New,42:13.2,prasanna@csa-india.org,03-11-2023,05-11-2023
"""MP-2023-000005""","""19""",n.a,CRZBNF-APF,Data Collection,1st week Attending office and 1st week collecting pending reports and travell bills verified and submit to HO. Attend Staff Review Meeting ,Ongoing,06:12.0,sai@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000005""","""20""",n.a,CRZBNF-APF,Data Collection,"2nd week attending office prepar data cluster wise farmers data and follow up FPO business google sheet, Rain Collector working observations ",Ongoing,06:12.0,sai@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000005""","""21""",n.a,CRZBNF-APF,Data Collection,"3rd week attending Office verification of data cluster wise farmers, follow up case studies and other reports",Ongoing,06:12.0,sai@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000005""","""22""",n.a,CRZBNF-APF,Data Collection,4th week attending office and follow up staff monthly reports and prepared staff attandance sheet submit to HO. Maintaining the office full month. Preparation of bills,Ongoing,06:12.0,sai@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000006""","""23""",NCD102,NCDC - CBBO,Campaign,Membership Moblisation first two weeks and achieve targets for Pulivendula FPO,Ongoing,14:18.2,pavan@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000006""","""24""",NCD102,NCDC - CBBO,BOT,Attend BoDs meetings of 5 CBBOs FPOs from 10 -16 Dates ,Ongoing,14:18.2,pavan@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000006""","""25""",CBB021,CBBO NABARD,Market Linkage,On 3rd HO team is visiting Ekashila FPCL and Vanipenta for turmeric ,New,14:18.2,pavan@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000006""","""26""",NCD102,NCDC - CBBO,Meeting,On Second week planning for AGM for proddutur FPO,New,14:18.2,pavan@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000006""","""27""",NCD102,NCDC - CBBO,Data Collection,Signatures collection for equity grant proposals for Pulivendula & Vempali by mid of November,Ongoing,14:18.2,pavan@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000006""","""28""",SAH142,Sahaja Aharam,Market Linkage,"Paddy procurement, quality parameters by 2nd week",New,14:18.2,pavan@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000007""","""29""",NAB097,NABARD,Meeting,Karimnagar cluster fpo's review meeting ,Ongoing,25:38.4,satyapal@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000008""","""30""",SFA154,SFAC - CBBO,Field Visit,Visit to Rice mills and seed production plants Karimnagar and huzurabad area.,New,29:24.6,satyapal@csa-india.org,02-11-2023,04-10-2023
"""MP-2023-000008""","""138""",SFA154,SFAC - CBBO,Data Collection,MIS members data collection and online updation.,New,29:24.6,satyapal@csa-india.org,01-11-2023,05-11-2023
"""MP-2023-000008""","""139""",NAB097,NABARD,Data Collection,MIS members data collection and online updation.,New,29:24.6,satyapal@csa-india.org,01-11-2023,05-11-2023
"""MP-2023-000009""","""31""",NCD102,NCDC - CBBO,Planning,"Huzurabad fpo EG 2nd treanch  and 3rd claims, karshaka fpo 2nd installment management documents submit to ",New,30:42.6,rameshdodde@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000009""","""32""",CBB021,CBBO NABARD,Planning,Manakondur and thirumalapur fpos management cost documents submit ,New,30:42.6,rameshdodde@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000009""","""33""",SFA154,SFAC - CBBO,Meeting,Bod meeting conduct for Mahadevpur and Orugallu fpos ,New,30:42.6,rameshdodde@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000010""","""34""",KIS085,Kisan Mitra,Issues Follow-up,"Jayamma Land issue follow up at mandal level---01/11/23
Farmer issues follow up & seed production plot field visit-02/11/23
Farmer issues follow up and field visit and bio village visit-03/11/23",Ongoing,05:08.6,srikanth@csa-india.org,01-11-2023,03-10-2023
"""MP-2023-000010""","""35""",KIS085,Kisan Mitra,Meeting,Staff review meeting attend at Pulivendula office,New,05:08.6,srikanth@csa-india.org,04-10-2023,04-10-2023
"""MP-2023-000010""","""36""",KIS085,Kisan Mitra,Meeting,"Jammalamadugu RDO office grievance attend for jayamma Land issue -06/11/23
Farmer suicide family visit and follow up - 07/11/23",Ongoing,05:08.6,srikanth@csa-india.org,06-10-2023,07-10-2023
"""MP-2023-000010""","""37""",KIS085,Kisan Mitra,Campaign,farmers issues follow up and field visit,New,05:08.6,srikanth@csa-india.org,08-11-2023,10-11-2023
"""MP-2023-000010""","""38""",KIS085,Kisan Mitra,Meeting,"Prodduturu fpo bod meeting attend - 13/11/23
Ekhashila fpo bod meeting attend   - 14/11/23
Prodduturu fpcl bod meeting attend  - 15/11/23
Jammalamadugu fpo bod meeting attend - 16/11/23",New,05:08.6,srikanth@csa-india.org,13-11-2023,16-11-2023
"""MP-2023-000010""","""39""",KIS085,Kisan Mitra,Field Visit,Farmer suicide family visit and follow up,Ongoing,05:08.6,srikanth@csa-india.org,17-11-2023,18-11-2023
"""MP-2023-000010""","""40""",KIS085,Kisan Mitra,Meeting,District level  grievance attend,Ongoing,05:08.6,srikanth@csa-india.org,20-11-2023,20-11-2023
"""MP-2023-000010""","""41""",KIS085,Kisan Mitra,Campaign,"farmers issues follow up and field visit
Siddarathnamma Land issue folloup",Ongoing,05:08.6,srikanth@csa-india.org,21-11-2023,25-10-2023
"""MP-2023-000010""","""42""",KIS085,Kisan Mitra,Issues Follow-up,"Grievance attend at mandal level (Vontimitta) - 27/11/23
farmer issues followup and field visit seed production plots - 28/11/23
farmer issues followup Crop loss due to big wind -2023 (Mirchi crop) - 29/11/23
farmer issues followup Sunflower crop failure - 30/11/23",Ongoing,05:08.6,srikanth@csa-india.org,27-11-2023,30-11-2023
"""MP-2023-000011""","""43""",n.a,CRZBNF-APF,Field Visit,"K.g.pudi closter, pathuru village field visit.and VTFPC work",Ongoing,05:08.6,srikanth@csa-india.org,30-10-2023,30-10-2023
"""MP-2023-000011""","""44""",n.a,CRZBNF-APF,Field Visit,"Karakavalasa, closter Karakavalasa, closter Karakavalasa village conducte FFS,and gudivada village farmers meet",Ongoing,05:08.6,srikanth@csa-india.org,31-10-2023,31-10-2023
"""MP-2023-000011""","""45""",n.a,CRZBNF-APF,Field Visit,K.g.pudi closter Boddam village farmers meet and model field visit,Ongoing,05:08.6,srikanth@csa-india.org,01-11-2023,01-11-2023
"""MP-2023-000011""","""46""",n.a,CRZBNF-APF,Field Visit,Karakavalasa closter Dabbirajapeta village conduct F FS and chamalapalli village farmers meet,Ongoing,05:08.6,srikanth@csa-india.org,02-11-2023,02-11-2023
"""MP-2023-000011""","""47""",NAB098,NABARD- AP POPI,Market Linkage,Paddy procurement recollection bills submit at vizianagaram,Ongoing,05:08.6,srikanth@csa-india.org,03-11-2023,03-11-2023
"""MP-2023-000012""","""48""",KSA088,KSA Farm,Field Visit,Ensuring of weeding activity in 9 acres (BDB and along the roads and Avenue plantation,New,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000013""","""49""",KSA088,KSA Farm,Planning,Bio input preparation unit design and sample making,New,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000013""","""50""",KSA088,KSA Farm,Field Visit,Ensuring of Sticky plates and pheromone traps in the vegetable plot and Paddy blocks in BDB,New,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000013""","""51""",KSA088,KSA Farm,Field Visit,Seperation of Groundnut pods with machine,New,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000013""","""52""",KSA088,KSA Farm,Planning,KSA weekly farm activities planning  along with Bhanu and weekly budget preparation,New,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""53""",SFA154,SFAC - CBBO,Meeting,5 FPOs BOD meetings - Participation,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""54""",SFA154,SFAC - CBBO,Meeting,Village level meetings  - Paarticipation,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""55""",SFA154,SFAC - CBBO,Meeting,Interaction with Mandal & District level officials for license and procurement centres,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""56""",SFA154,SFAC - CBBO,Field Visit,5 FPO books of records verifying,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""57""",SFA154,SFAC - CBBO,Training,BOD Trainings,New,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""58""",SFA154,SFAC - CBBO,Market Linkage,Discussion with input dealers,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""59""",SFA154,SFAC - CBBO,Meeting,GST Filing and auditing,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""60""",SFA154,SFAC - CBBO,Data Collection,Share Holders Details updation,New,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""61""",SFA154,SFAC - CBBO,Meeting,monthly Staff meeting,New,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""62""",SFA154,SFAC - CBBO,Report preparation,Monthly MIS updation,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""63""",OCA106,OCA-FiBL Cotton seed multiplication,Field Visit,Cotton Fields visit,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""64""",GEN063,General,Field Visit,Say Trees plantation fields visiting  and interacting with farmers,New,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000014""","""65""",ILO081,ILO,Report preparation,Meeting minutes sharing,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000015""","""66""",PGS116,PGS Certification AP,Inspection,Physical inspection to ryss field areas,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000015""","""67""",PGS112,PGS - Chhattisgarh,Meeting,meeting with DDM Dantewada,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000015""","""68""",PGS111,PGS,Field Visit,Telangana state field area field visits,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000015""","""69""",n.a,CSA-Organisational,Planning,"preparation for  travel to Australia (Monash University) , presentations and other required documents",Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000015""","""70""",PGS113,PGS - Karnataka,Meeting,Meeting with DDM Raichur,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000015""","""71""",NCO103,NCONF,Report preparation,"Monthly reports preparation and proposal need to be submitted to NCONF (for office setup, BRC establishment, models establishment)",Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000015""","""72""",PGS119,PGS-Jarkhand,Inspection,physical verification at Jharkhand state,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000016""","""73""",SFA154,SFAC - CBBO,Training,"Training Regarding ERP Valuation Report, How to Resolve the issue to Thirupathi",Ongoing,05:08.7,srikanth@csa-india.org,01-11-2023,03-11-2023
"""MP-2023-000016""","""369""",CSA031,CSA Internal,Designing & Development,erp.csa-india.org New Doctypes for workdone and leaves application,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000016""","""370""",SFA154,SFAC - CBBO,Designing & Development,In erp.fpohub.com Creating items. Rectify issues and Resolve issues.,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000016""","""371""",SFA154,SFAC - CBBO,Follow-up,Follow-up regarding erp.fpohub.com Update.,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000016""","""372""",SFA154,SFAC - CBBO,Follow-up,Follow-up FPOs Data With Service and Business (in Qty) Sheet Update.,Ongoing,05:08.7,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000017""","""74""",CSA031,CSA Internal,Meeting,"Discussion on services of cooperatives at Nalsar University, Hyderabad",New,05:08.8,srikanth@csa-india.org,03-11-2023,03-11-2023
"""MP-2023-000017""","""75""",IRR084,IRRI,Field Visit,Field visit by Mrs. Ranjitha to Chinna Chintha Kunta FPO and field day.,Ongoing,05:08.8,srikanth@csa-india.org,03-11-2023,03-11-2023
"""MP-2023-000018""","""76""",FES050,FES -CSA,Training,"Training on FPO concept & Design two days for board of Directors, CEO and Accountant.",Ongoing,05:08.8,srikanth@csa-india.org,07-11-2023,08-10-2023
"""MP-2023-000019""","""77""",NAB099,NABARD- AP RSA,Report preparation,2022-23 report submission,Ongoing,05:08.8,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000019""","""78""",IRR084,IRRI,Field Visit,FPO Board Meeting,New,05:08.8,srikanth@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000020""","""79""",NAB097,NABARD,Meeting,Meeting at Karimnagar,New,19:20.3,rajakumar@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000020""","""80""",SFA154,SFAC - CBBO,Planning,Basic round interview for Sri Keethaki Sangameshwara fpcl CEO  ,New,19:20.3,rajakumar@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000020""","""81""",SFA154,SFAC - CBBO,Planning,Membership meeting for Sri Keethaki sangameshwara fpcl ,New,19:20.3,rajakumar@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000020""","""82""",NAB097,NABARD,Field Visit,Kshetramu fpcl visit and input business data collection for next  season,New,19:20.3,rajakumar@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000020""","""83""",NAB097,NABARD,Market Linkage,Thummalapally fpcl visit and next season input business planning and data collection,New,19:20.3,rajakumar@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000021""","""85""",GEN061,Gender Responsive Seed System - IRRI,FFS,"Purchasing Grain Moisture meter, Germination papers, Trays, Petri dishes.",Ongoing,30:59.7,ravivarma@csa-india.org,01-11-2023,01-10-2023
"""MP-2023-000021""","""86""",OCA106,OCA-FiBL Cotton seed multiplication,Data Collection,2nd phase of data collection in Cotton Evaluation Trails at Jangaon district.,Ongoing,30:59.7,ravivarma@csa-india.org,02-11-2023,06-11-2023
"""MP-2023-000021""","""87""",IRR084,IRRI,Data Collection,Crop cutting experiments in DSR plots at jangaon and need to be collect data from DSR plots,Ongoing,30:59.7,ravivarma@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000021""","""88""",IRR084,IRRI,Data Collection,Submission of data in Kobo Collect app of DSR plots.,Ongoing,30:59.7,ravivarma@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000021""","""89""",KSA088,KSA Farm,Data Collection,Need to be complete soil chemical analysis of KSA farm.,Ongoing,30:59.7,ravivarma@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000021""","""90""",IRR084,IRRI,Data Collection,"Crop cutting experiments to be done and data has to be collect in OFTs at CC kunta, Mahabubnagar",New,30:59.7,ravivarma@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000021""","""91""",GEN061,Gender Responsive Seed System - IRRI,Meeting,Field day activity and meeting with IRRI team at CC kunta on 03-11-2023,New,30:59.7,ravivarma@csa-india.org,03-11-2023,03-11-2023
"""MP-2023-000021""","""92""",OCA106,OCA-FiBL Cotton seed multiplication,Field Visit,Cotton Evaluation Trails field visit at Jangaon with Fibl Team,New,30:59.7,ravivarma@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000022""","""93""",KIS085,Kisan Mitra,Campaign,Reaching out to the Kadapa FPO's regularly to create awareness about the Kisanmitra services through social media. ,Ongoing,36:41.3,naresh@csa-india.org,01-11-2023,31-10-2023
"""MP-2023-000022""","""94""",KIS085,Kisan Mitra,Field Visit,"-	Visiting farmer suicide families for doing fact-finding survey and also submitting applications by the families at Mandal office regarding Exgratia, further follow up with officials.
-	Conducting field visits on long pending issues at district and Mandal level depending on the calls received by Kisan Mitra. 
",Ongoing,36:41.3,naresh@csa-india.org,20-11-2023,24-11-2023
"""MP-2023-000022""","""101""",KIS085,Kisan Mitra,Report preparation,#NAME?,Ongoing,36:41.3,naresh@csa-india.org,01-11-2023,05-11-2023
"""MP-2023-000022""","""102""",KIS085,Kisan Mitra,Meeting,"-	Conducting Kisan Mitra review twice a month regarding pending issues and calls and field updates. 
-	Attending monthly meetings and making reports for the same.
-	Attending spandana grievance Monthly once at District level.
-	To organize village level meetings at FPO level to check whether every eligible farmer is getting the benefit of the government schemes or not.
-	Attending cooperatives meeting at Nalsar university on 3rd November 2023
",Ongoing,36:41.3,naresh@csa-india.org,01-11-2023,31-10-2023
"""MP-2023-000023""","""95""",KIS085,Kisan Mitra,BOT,"Nov-11 Vemula FPO BOD meeting attend.
Nov-18 Vempalli FPO BOD meeting attend",Ongoing,06:54.9,mallepallidevabhaskar@gmail.com,11-10-2023,18-10-2023
"""MP-2023-000023""","""96""",KIS085,Kisan Mitra,Campaign,"Nov-01 Door to Door campaign in Musalreddygaripalli village for farmer pending issues identification.
Nov-03 Alavalapadu,Ayyavaripalli villages campaign for farmer issues identification purpose.
Nov-09 Pulivendula FPO leval villages campaign for farmer issues identification.
Nov-28 Naguru,Muthukur villages campaign for aware kisan Mithra helpline and pending farmer issues identification.",Ongoing,06:54.9,mallepallidevabhaskar@gmail.com,01-11-2023,31-10-2023
"""MP-2023-000023""","""97""",KIS085,Kisan Mitra,FFS,"Nov-8 Kuppalapalli FFS attend.
Nov-15 Bhumayyagaripalli Village FFS attend.
",Ongoing,06:54.9,mallepallidevabhaskar@gmail.com,Date not recorded,Date not recorded
"""MP-2023-000023""","""98""",KIS085,Kisan Mitra,Field Visit,"Nov-11 Alavalapadu Village Suicide famileies field visit.
Nov-22 Mabbuchinathapalli field visit for pending issues and crop loss.
Nov-23 Ayyavaripalli field visit for pending issues purpose.
Nov-25 Thummalapalli,Rachakuntapalli villages field visit for isseus identification and followup.
Nov- Bio village Musalreddygaripalli village leval field Visit for crop isseue followup and  farmers convert to Organic farming.
Nov-30 Bio village Sheshannagaripalli village leval field visit for farmers convert to Organic farming and 
farmer issues identification.",New,06:54.9,mallepallidevabhaskar@gmail.com,11-10-2023,30-10-2023
"""MP-2023-000023""","""99""",KIS085,Kisan Mitra,Issues Follow-up,"Nov-2 Giddangivaripalli,Bakkannagaripalli village leval insurence pending issues and crop issues followup.
Nov-7 Vemula AO office for PMkisan and crop losss issues followup and went to Bank for PMFME pending isseus followup.
Nov-10 Vempalli HO office for Horticulture crop loss pending issues and pending Subsidy schemes followup.
Nov-16 Bakkannagaripalli village leval Rythu Bharosa,insurence and crop loss issues followup.
Nov-17 Chakrayapeta mandal pending issues followup.
Nov-18 Venpalli AO office and MRO office for crop loss issues and land issues followup.
Nov-21 Suicide farmer family issues followup in Thondur.
Nov-24 Bhumayuagaripalli and Rachakuntapalli crop loss and govt pending schemes followup.
",Ongoing,06:54.9,mallepallidevabhaskar@gmail.com,02-10-2023,24-10-2023
"""MP-2023-000023""","""100""",KIS085,Kisan Mitra,Meeting,"Nov-4 Staff meeting attend in Pulivendula office.
Nov-06 Greevence attend in Jammalamadugu RDO office 
Nov-13 Gevence attend in Kadapa collectrate for crop loss ssues.
Nov-20 Greevence attend in Kadapa collectrate for land issues.
Nov-27 Greevence attend in Vempalli MRO office for DKT land issue and crop loss pending issues.",Ongoing,06:54.9,mallepallidevabhaskar@gmail.com,04-10-2023,27-10-2023
"""MP-2023-000024""","""106""",n.a,CRZBNF-APF,FFS,Ffs and pgs group meeting ,Ongoing,26:52.4,nagavenamma@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000025""","""107""",n.a,CRZBNF-APF,FFS,"Weekly once on every Wednesday FFS -4days, weekly onces on every Friday crop adwisery -4 days",Ongoing,06:08.7,nagavenamma@csa-india.org,26-10-2023,25-11-2023
"""MP-2023-000025""","""108""",n.a,CRZBNF-APF,Field Visit,"25 days field visit and inputs preparation , Model visit and impact and data collection. ",Ongoing,06:08.7,nagavenamma@csa-india.org,26-10-2023,25-11-2023
"""MP-2023-000025""","""109""",n.a,CRZBNF-APF,Training,Three mid season training. ,New,06:08.7,nagavenamma@csa-india.org,01-11-2023,15-10-2023
"""MP-2023-000025""","""110""",n.a,CRZBNF-APF,Meeting,5 village level meetings and 5 vo meetings. One BOD meeting attend. ,Ongoing,06:08.7,nagavenamma@csa-india.org,05-10-2023,19-10-2023
"""MP-2023-000025""","""111""",n.a,CRZBNF-APF,Report preparation,"Weekly onces every Saturday report preparation and documentation, and 2 case studies preparation. ",Ongoing,06:08.7,nagavenamma@csa-india.org,26-10-2023,25-11-2023
"""MP-2023-000025""","""112""",n.a,CRZBNF-APF,Data Collection,Rabhi season FPC members crop details,New,06:08.7,nagavenamma@csa-india.org,20-11-2023,30-10-2023
"""MP-2023-000026""","""113""",CBB021,CBBO NABARD,Field Visit,PPC Inauguration,New,09:04.0,rammurthy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000026""","""114""",CBB021,CBBO NABARD,Field Visit,Paddy Procurement verification 4 days at Singaram and 4 Days P Kondaram,New,09:04.0,rammurthy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000026""","""328""",CBB021,CBBO NABARD,Meeting,4 days at Mosambi FPO and 3 Days Samhitha FPOs Village Meetings,Ongoing,09:04.0,rammurthy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000026""","""329""",NAB101,NABARD- TS RSA,Field Visit,6 days PODF ID FPOs Monitoring Visits,Ongoing,09:04.0,rammurthy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000026""","""330""",CBB021,CBBO NABARD,Meeting,4 CCBO Nalgonda FPOs BoD meetings,Ongoing,09:04.0,rammurthy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000026""","""350""",NAB101,NABARD- TS RSA,Meeting,1 day PODF ID FPOs Meetings at Nalgonda Dist,Ongoing,09:04.0,rammurthy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000027""","""115""",NAB097,NABARD,Market Linkage,Safe food fpcl dealership with Growmore ,New,29:45.6,satyapal@csa-india.org,03-11-2023,04-11-2023
"""MP-2023-000027""","""116""",NAB097,NABARD,Campaign,Thirumalapur fpcl mobilization program ,New,29:45.6,satyapal@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000028""","""117""",SFA154,SFAC - CBBO,Meeting,Jeevanadhata fpcl BOD meeting ,Ongoing,38:57.2,satyapal@csa-india.org,06-11-2023,08-11-2023
"""MP-2023-000029""","""118""",NAB097,NABARD,Inspection,Nabkisan credit linkage ,New,51:22.5,satyapal@csa-india.org,08-11-2023,11-11-2023
"""MP-2023-000030""","""119""",NAB097,NABARD,Meeting,Etigadda fpcl BOD meeting ,Ongoing,57:18.2,satyapal@csa-india.org,13-11-2023,15-11-2023
"""MP-2023-000030""","""120""",NAB097,NABARD,Meeting,Thirumalapur fpcl VLM and BOD meeting ,Ongoing,57:18.2,satyapal@csa-india.org,13-11-2023,18-11-2023
